sku,category,subcategory,name,leather,finish,color,moq,lead_time_days,sample_available,sample_fee
FV-WL-001,Wallets,Wallets,Bi-Fold Leather Wallet,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-002,Wallets,Wallets,Bi-Fold Leather Wallet — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-003,Wallets,Wallets,Tri-Fold Leather Wallet,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-004,Wallets,Wallets,Tri-Fold Leather Wallet — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-005,Wallets,Wallets,Slim Leather Cardholder,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-006,Wallets,Wallets,Slim Leather Cardholder — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-007,Wallets,Wallets,Zipper Leather Wallet,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-008,Wallets,Wallets,Zipper Leather Wallet — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-009,Wallets,Wallets,RFID Blocking Leather Wallet,Top-grain cowhide,RFID-lined,Black,100,12,true,8
FV-WL-010,Wallets,Wallets,RFID Blocking Leather Wallet — Tan,Top-grain cowhide,RFID-lined,Tan,100,12,true,8
FV-WL-011,Wallets,Wallets,Travel Leather Wallet,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-012,Wallets,Wallets,Travel Leather Wallet — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-013,Wallets,Wallets,Leather Coin Pouch,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-014,Wallets,Wallets,Leather Coin Pouch — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-015,Wallets,Wallets,Passport Holders,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-WL-016,Wallets,Wallets,Passport Holders — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-WL-017,Wallets,Wallets,RFID-blocking Wallets,Top-grain cowhide,RFID-lined,Black,100,12,true,8
FV-WL-018,Wallets,Wallets,RFID-blocking Wallets — Tan,Top-grain cowhide,RFID-lined,Tan,100,12,true,8
FV-BG-001,Bags,Bags,Tote Bags (Women's),Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-002,Bags,Bags,Tote Bags (Women's) — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-003,Bags,Bags,Messenger Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-004,Bags,Bags,Messenger Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-005,Bags,Bags,Crossbody Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-006,Bags,Bags,Crossbody Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-007,Bags,Bags,Laptop Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-008,Bags,Bags,Laptop Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-009,Bags,Bags,Backpacks,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-010,Bags,Bags,Backpacks — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-011,Bags,Bags,Duffle Bags (Travel),Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-012,Bags,Bags,Duffle Bags (Travel) — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-013,Bags,Bags,Sling Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-014,Bags,Bags,Sling Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-015,Bags,Bags,Camera Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-016,Bags,Bags,Camera Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-017,Bags,Bags,Clutch & Evening Bags,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-018,Bags,Bags,Clutch & Evening Bags — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-019,Bags,Bags,Leather Coin Purse,Top-grain cowhide,Pebble,Black,100,12,true,8
FV-BG-020,Bags,Bags,Leather Coin Purse — Tan,Top-grain cowhide,Pebble,Tan,100,12,true,8
FV-BG-021,Bags,Bags,Leather Belt Pouch,Veg-tan cowhide,Veg-tan,Black,120,20,true,12
FV-BG-022,Bags,Bags,Leather Belt Pouch — Tan,Veg-tan cowhide,Veg-tan,Tan,120,20,true,12
FV-BG-023,Bags,Bags,Leather Mini Clutch,Top-grain cowhide,Pebble,Black,60,28,true,25
FV-BG-024,Bags,Bags,Leather Mini Clutch — Tan,Top-grain cowhide,Pebble,Tan,60,28,true,25
FV-BG-025,Bags,Bags,Leather Phone Sleeve,Top-grain cowhide,Pebble,Black,100,18,true,12
FV-BG-026,Bags,Bags,Leather Phone Sleeve — Tan,Top-grain cowhide,Pebble,Tan,100,18,true,12
FV-BG-027,Bags,Bags,Leather Bracelet,Veg-tan cowhide,Veg-tan,Black,150,12,true,6
FV-BG-028,Bags,Bags,Leather Bracelet — Tan,Veg-tan cowhide,Veg-tan,Tan,150,12,true,6
FV-OF-001,Office & Lifestyle,Office & Lifestyle,Leather Notebooks / Journals,Top-grain cowhide,Saffiano,Black,80,18,true,12
FV-OF-002,Office & Lifestyle,Office & Lifestyle,Leather Notebooks / Journals — Tan,Top-grain cowhide,Saffiano,Tan,80,18,true,12
FV-OF-003,Office & Lifestyle,Office & Lifestyle,Desk Mats,Top-grain cowhide,Saffiano,Black,80,18,true,12
FV-OF-004,Office & Lifestyle,Office & Lifestyle,Desk Mats — Tan,Top-grain cowhide,Saffiano,Tan,80,18,true,12
FV-OF-005,Office & Lifestyle,Office & Lifestyle,Pen Holders,Top-grain cowhide,Saffiano,Black,80,18,true,12
FV-OF-006,Office & Lifestyle,Office & Lifestyle,Pen Holders — Tan,Top-grain cowhide,Saffiano,Tan,80,18,true,12
FV-OF-007,Office & Lifestyle,Office & Lifestyle,Laptop Sleeves,Full-grain cowhide,Semi-aniline,Black,80,18,true,15
FV-OF-008,Office & Lifestyle,Office & Lifestyle,Laptop Sleeves — Tan,Full-grain cowhide,Semi-aniline,Tan,80,18,true,15
